 

 ========  iteration 0 ======== 


===== final result of concurrent abstract interpretation =====
===== final result of concurrent abstract interpretation (0) =====
Variables: 	  Ausloeser3  Ausloeser5Eindruecken2 Foerderband     GUTTEIL   Handling1   Handling7          K2          K3         K51         K52         K71         K72Kontaktierung5Lineareinheit1LineareinheitVor7LineareinheitZur7    Spannen3
Tran 15: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]   [1.0,1.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
Step 10: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
Step 17: 	  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]
Tran 13: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]   [1.0,1.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
Tran 14: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]   [1.0,1.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
Tran 16: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]   [1.0,1.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
Tran 12: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]   [1.0,1.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
Tran 17: 	  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]
Step 22: 	  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]  [1.0,-1.0]
Step 13: 	  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]   [1.0,1.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]  [-0.0,0.0]
